tweet_id,favorite_count,retweet_count,followers_count
892420643555336193,39467,8853,3200889
892177421306343426,33819,6514,3200889
891815181378084864,25461,4328,3200889
891689557279858688,42908,8964,3200889
891327558926688256,41048,9774,3200889
891087950875897856,20562,3261,3200889
890971913173991426,12041,2158,3200889
890729181411237888,56848,16716,3200889
890609185150312448,28226,4429,3200889
890240255349198849,32467,7711,3200889
890006608113172480,31166,7624,3200889
889880896479866881,28268,5156,3200889
889665388333682689,38818,8538,3200889
889638837579907072,27672,4735,3200889
889531135344209921,15359,2321,3200889
889278841981685760,25652,5637,3200889
888917238123831296,29611,4709,3200889
888804989199671297,26080,4559,3200889
888554962724278272,20290,3732,3200889
888078434458587136,22201,3653,3200889
887705289381826560,30779,5609,3200890
887517139158093824,46959,12082,3200890
887473957103951883,69871,18781,3200890
887343217045368832,34222,10737,3200890
887101392804085760,31061,6167,3200890
886983233522544640,35859,8084,3200890
886736880519319552,12306,3443,3200890
886680336477933568,22798,4610,3200890
886366144734445568,21524,3316,3200890
886267009285017600,117,4,3200890
886258384151887873,28469,6523,3200890
886054160059072513,0,108,3200890
885984800019947520,33382,7097,3200890
885528943205470208,36689,6683,3200890
885518971528720385,20788,3899,3200890
885311592912609280,0,19297,3200890
885167619883638784,22367,4556,3200890
884925521741709313,68152,16439,3200890
884876753390489601,28514,6096,3200890
884562892145688576,24765,5100,3200890
884441805382717440,27478,5856,3200890
884247878851493888,74423,21298,3200890
884162670584377345,20771,3128,3200890
883838122936631299,22349,3586,3200890
883482846933004288,46860,10407,3200890
883360690899218434,22986,3825,3200890
883117836046086144,37914,6949,3200890
882992080364220416,24445,4122,3200890
882762694511734784,28903,5134,3200890
882627270321602560,28382,6342,3200890
882268110199369728,45880,12118,3200890
882045870035918850,29900,5203,3200890
881906580714921986,24773,3533,3200890
881666595344535552,51522,11099,3200890
881633300179243008,129,7,3200890
881536004380872706,50199,16570,3200890
881268444196462592,23501,5358,3200890
880935762899988482,17346,2886,3200890
880872448815771648,21734,3989,3200890
880465832366813184,29075,6546,3200890
880221127280381952,27640,4436,3200890
880095782870896641,28150,4533,3200890
879862464715927552,22667,3642,3200890
